filename,actualname
storage,Storage
development,Application Deployment
container,Governance and Security
disaster_recovery,BC and DR
network,Network Topology and Connectivity
resource_management,Resource management
windows,Windows
operations,Operations
identity_access_management,Identity and Access Management
